Author(s),Title,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,Number of Pages,DATABASE,DOI,"""Big Data"" in Title","""Big Data"" in Abstract","""Big Data"" in Keywords","""Big Data"" in Article Text","""Big Data"" in References",No Abstract,No Keywords,No References
"Choi, SetByol; Kim, Su Jung; Lee, Myoung-Jin","A Cultural Map of South Korea, 2011",KOREA OBSERVER,2017,48,3,549,575,26,SSCI - IR,,0,1,0,1,0,0,0,0
"Clark, William Roberts; Golder, Matt","Big Data, Causal Inference, and Formal Theory: Contradictory Trends in Political Science?",PS-POLITICAL SCIENCE & POLITICS,2015,48,1,65,70,5,SSCI - PS,10.1017/S1049096514001759,1,0,0,1,1,1,1,0
"Clarke, Amanda; Craft, Jonathan",The vestiges and vanguards of policy design in a digital context,CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,2017,60,4,476,497,21,SSCI - PA,10.1111/capa.12228,0,1,1,1,1,0,0,0
"Cobb, Wendy N. Whitman",Trending now: Using big data to examine public opinion of space policy,SPACE POLICY,2015,32,,11,16,5,SSCI - IR,10.1016/j.spacepol.2015.02.008,1,1,1,1,1,0,0,0
"Conway, Maura",Determining the Role of the Internet in Violent Extremism and Terrorism: Six Suggestions for Progressing Research,STUDIES IN CONFLICT & TERRORISM,2017,40,1,77,98,21,"SSCI - PS,SSCI - IR",10.1080/1057610X.2016.1157408,0,1,0,1,1,0,1,0
"Crosas, Merce; King, Gary; Honaker, James; Sweeney, Latanya",Automating Open Science for Big Data,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,659,1,260,273,13,SSCI - PS,10.1177/0002716215570847,1,1,1,1,1,0,0,0
"Cukier, Kenneth; Mayer-Schoenberger, Viktor",The Rise of Big Data How It's Changing the Way We Think About the World,FOREIGN AFFAIRS,2013,92,3,28,40,NaN,SSCI - IR,,1,0,0,1,0,1,1,1
"Dean, Mitchell",Three Forms of Democratic Political Acclamation,TELOS,2017,,179,9,32,23,SSCI - PS,,0,0,1,1,1,1,0,0
"Desouza, Kevin C.; Jacob, Benoy",Big Data in the Public Sector: Lessons for Practitioners and Scholars,ADMINISTRATION & SOCIETY,2017,49,7,1043,1064,21,SSCI - PA,10.1177/0095399714555751,1,1,1,1,1,0,0,0
"Dowding, Keith",So Much to Say: Response to Commentators,POLITICAL STUDIES REVIEW,2017,15,2,217,230,13,SSCI - PS,10.1177/1478929917693645,0,1,0,1,1,0,0,0
"Durrant, Hannah; Barnett, Julie; Rempel, Emily Suzanne",Realising the Benefits of Integrated Data for Local Policymaking: Rhetoric versus Reality,POLITICS AND GOVERNANCE,2018,6,4,18,28,10,SSCI - PS,10.17645/pag.v6i4.1586,0,1,1,1,1,0,0,0
"Eldridge, Christopher; Hobbs, Christopher; Moran, Matthew",Fusing algorithms and analysts: open-source intelligence in the age of 'Big Data',INTELLIGENCE AND NATIONAL SECURITY,2018,33,3,391,406,15,"SSCI - PS,SSCI - IR",10.1080/02684527.2017.1406677,1,1,0,1,1,0,1,0
"Ellen, Ingrid Gould; Horn, Keren Mertens; Schwartz, Amy Ellen",Why Don't Housing Choice Voucher Recipients Live Near Better Schools? Insights from Big Data,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,2016,35,4,884,905,NaN,SSCI - PA,10.1002/pam.21929,1,0,0,0,0,0,0,0
"Endres, Kyle",The Accuracy of Microtargeted Policy Positions,PS-POLITICAL SCIENCE & POLITICS,2016,49,4,771,774,3,SSCI - PS,10.1017/S1049096516001645,0,0,1,1,1,0,0,0
"Enos, Ryan D.; Fowler, Anthony",Aggregate Effects of Large-Scale Campaigns on Voter Turnout,POLITICAL SCIENCE RESEARCH AND METHODS,2018,6,4,733,751,18,SSCI - PS,10.1017/psrm.2016.21,0,0,1,0,1,0,0,0
"Entwisle, Barbara; Hofferth, Sandra L.; Moran, Emilio F.",Quilting a Time-Place Mosaic: Concluding Remarks,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2017,669,1,190,198,8,SSCI - PS,10.1177/0002716216683698,0,1,1,1,0,0,0,0
"Fast, Larissa",Diverging Data: Exploring the Epistemologies of Data Collection and Use among Those Working on and in Conflict,INTERNATIONAL PEACEKEEPING,2017,24,5,706,732,26,SSCI - IR,10.1080/13533312.2017.1383562,0,1,0,1,1,0,0,0
"Fierascu, Silvia I.; Parvu, Mihai; Topirceanu, Alexandru; Udrescu, Mihai",Exploring Party Switching in the Post-1989 Romanian Politicians Network from a Complex Network Perspective,ROMANIAN JOURNAL OF POLITICAL SCIENCE,2018,18,1,108,136,28,SSCI - PS,,0,1,0,0,0,0,0,0
"Fourcade, Marion; Healy, Kieran",Seeing like a market,SOCIO-ECONOMIC REVIEW,2017,15,1,9,29,20,SSCI - PS,10.1093/ser/mww033,0,0,1,1,1,0,0,0
"Gabay, Clive; Ilcan, Suzan","The Affective Politics of the Sustainable Development Goals: Partnership, Capacity-Building, and Big Data",GLOBALIZATIONS,2017,14,3,468,485,17,SSCI - IR,10.1080/14747731.2017.1286167,1,1,1,1,1,0,0,0
"Gale, Fred; Ascui, Francisco; Lovell, Heather",Sensing Reality? New Monitoring Technologies for Global Sustainability Standards,GLOBAL ENVIRONMENTAL POLITICS,2017,17,2,65,83,18,"SSCI - PS,SSCI - IR",10.1162/GLEP_a_00401,0,1,0,1,1,0,0,0
"Gamage, Pandula",New development: Leveraging big data' analytics in the public sector,PUBLIC MONEY & MANAGEMENT,2016,36,5,385,390,5,SSCI - PA,10.1080/09540962.2016.1194087,1,1,1,1,1,0,0,0
"Garcia, David; Mavrodiev, Pavlin; Casati, Daniele; Schweitzer, Frank","Understanding Popularity, Reputation, and Social Influence in the Twitter Society",POLICY AND INTERNET,2017,9,3,343,364,21,SSCI - PS,10.1002/poi3.151,0,0,0,0,1,0,0,0
"Giest, Sarah",Big data for policymaking: fad or fasttrack?,POLICY SCIENCES,2017,50,3,367,382,15,SSCI - PA,10.1007/s11077-017-9293-1,1,1,1,1,1,0,0,0
"Gorham, Ashley E.",Big Data and Democracy: Facts and Values,PS-POLITICAL SCIENCE & POLITICS,2017,50,4,958,961,3,SSCI - PS,10.1017/S104909651700107X,1,1,0,1,1,0,0,0
"Goroff, Daniel; Polonetsky, Jules; Tene, Omer",Privacy Protective Research: Facilitating Ethically Responsible Access to Administrative Data,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2018,675,1,46,66,20,SSCI - PS,10.1177/0002716217742605,0,0,1,1,1,0,0,0
"Grimmer, Justin","We Are All Social Scientists Now: How Big Data, Machine Learning, and Causal Inference Work Together",PS-POLITICAL SCIENCE & POLITICS,2015,48,1,80,83,3,SSCI - PS,10.1017/S1049096514001784,1,0,0,1,1,1,0,0
"Guerrero, Omar A.; Lopez, Eduardo",Understanding Unemployment in the Era of Big Data: Policy Informed by Data-Driven Theory,POLICY AND INTERNET,2017,9,1,28,54,26,SSCI - PS,10.1002/poi3.136,1,1,1,1,1,0,0,0
"Guggenheim, Lauren; Jang, S. Mo; Bae, Soo Young; Neuman, W. Russell",The Dynamics of Issue Frame Competition in Traditional and Social Media,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,659,1,207,224,17,SSCI - PS,10.1177/0002716215570549,0,0,1,1,1,0,0,0
"Hansen, Hans Krause; Porter, Tony",What Do Big Data Do in Global Governance?,GLOBAL GOVERNANCE,2017,23,1,31,42,11,SSCI - IR,,1,1,1,1,1,0,0,0
"Hargittai, Eszter",Is Bigger Always Better? Potential Biases of Big Data Derived from Social Network Sites,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,659,1,63,76,13,SSCI - PS,10.1177/0002716215570866,1,1,1,1,1,0,0,0
"Heath-Kelly, Charlotte",Algorithmic autoimmunity in the NHS: Radicalisation and the clinic,SECURITY DIALOGUE,2017,48,1,29,45,16,SSCI - IR,10.1177/0967010616671642,0,1,0,1,1,0,0,0
"Hesse, Bradford W.; Moser, Richard P.; Riley, William T.",From Big Data to Knowledge in the Social Sciences,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,659,1,16,32,16,SSCI - PS,10.1177/0002716215570007,1,1,1,1,1,0,0,0
"Hindman, Matthew","Building Better Models: Prediction, Replication, and Machine Learning in the Social Sciences",ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,659,1,48,62,14,SSCI - PS,10.1177/0002716215570279,0,1,1,1,0,0,0,0
"Hofferth, Sandra L.; Moran, Emilio F.; Entwisle, Barbara; Aber, J. Lawrence; Brady, Henry E.; Conley, Dalton; Cutter, Susan L.; Eckel, Catherine C.; Hamilton, Darrick; Hubacek, Klaus",Introduction: History and Motivation,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2017,669,1,6,17,11,SSCI - PS,10.1177/0002716216682715,0,1,1,1,1,0,0,0
"Honavar, Vasant G.",The Promise and Potential of Big Data: A Case for Discovery Informatics,REVIEW OF POLICY RESEARCH,2014,31,4,326,330,4,"SSCI - PS,SSCI - PA",10.1111/ropr.12080,1,1,1,1,1,0,0,0
"Hondula, David M.; Kuras, Evan R.; Longo, Justin; Johnston, Erik W.",Toward precision governance: infusing data into public management of environmental hazards,PUBLIC MANAGEMENT REVIEW,2018,20,5,746,765,19,SSCI - PA,10.1080/14719037.2017.1320043,0,0,0,1,1,0,0,0
"Jaeger, Kai",NOT A NEW GOLD STANDARD: EVEN BIG DATA CANNOT PREDICT THE FUTURE,CRITICAL REVIEW,2016,28,03-Apr,335,355,20,SSCI - PS,10.1080/08913811.2016.1237704,1,1,1,1,0,0,0,0
"Japec, Lilli; Kreuter, Frauke; Berg, Marcus; Biemer, Paul; Decker, Paul; Lampe, Cliff; Lane, Julia; O'Neil, Cathy; Usher, Abe",Big Data in Survey Research,PUBLIC OPINION QUARTERLY,2015,79,4,839,880,41,SSCI - PS,10.1093/poq/nfv039,1,1,0,1,1,0,0,0
"Jensen, Michael J.; Bang, Henrik",Digitally networked movements as problematization and politicization,POLICY STUDIES,2015,36,6,573,589,16,SSCI - PA,10.1080/01442872.2015.1095879,0,0,1,0,0,0,0,0
