Author(s),Title,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,Number of Pages,DATABASE,DOI,"""Big Data"" in Title","""Big Data"" in Abstract","""Big Data"" in Keywords","""Big Data"" in Article Text","""Big Data"" in References",No Abstract,No Keywords,No References
"Mattingly-Jordan, Sara",Reasserting the Refounding,ADMINISTRATION & SOCIETY,2018,50,5,653,678,25,SSCI - PA,10.1177/0095399718770392,0,0,1,1,1,0,0,0
"McNeely, Connie L.; Hahm, Jong-on","The Big (Data) Bang: Policy, Prospects, and Challenges",REVIEW OF POLICY RESEARCH,2014,31,4,304,310,6,"SSCI - PS,SSCI - PA",10.1111/ropr.12082,1,1,1,1,1,0,0,0
"Mergel, Ines",Building Holistic Evidence for Social Media Impact,PUBLIC ADMINISTRATION REVIEW,2017,77,4,489,495,6,SSCI - PA,10.1111/puar.12780,0,0,1,1,1,0,0,0
"Mergel, Ines; Rethemeyer, R. Karl; Isett, Kimberley",Big Data in Public Affairs,PUBLIC ADMINISTRATION REVIEW,2016,76,6,928,937,9,SSCI - PA,10.1111/puar.12625,1,1,0,1,1,0,0,0
"Miller, Peter V.",Is There a Future for Surveys?,PUBLIC OPINION QUARTERLY,2017,81,,205,212,7,SSCI - PS,10.1093/poq/nfx008,0,1,0,1,0,0,0,0
"Monroe, Burt L.; Pan, Jennifer; Roberts, Margaret E.; Sen, Maya; Sinclair, Betsy","No! Formal Theory, Causal Inference, and Big Data Are Not Contradictory Trends in Political Science",PS-POLITICAL SCIENCE & POLITICS,2015,48,1,71,74,3,SSCI - PS,10.1017/S1049096514001760,1,0,0,1,1,1,1,0
"Montgomery, Jacob M.; Olivella, Santiago",Tree-Based Models for Political Science Data,AMERICAN JOURNAL OF POLITICAL SCIENCE,2018,62,3,729,744,15,SSCI - PS,10.1111/ajps.12361,0,1,0,1,1,0,0,0
"Mooney, Pat",What's cooking for climate change? Techno-fixing dinner for 10 billion,BULLETIN OF THE ATOMIC SCIENTISTS,2018,74,6,390,396,6,SSCI - IR,10.1080/00963402.2018.1533214,0,1,1,1,1,0,0,0
"Morehouse, Matthew Alan; Lovecky, Tomas; Read, Hannah; Woodman, Marcus","Quantify? or, Wanna Cry? Integrating Methods Training in the IR Classroom",INTERNATIONAL STUDIES PERSPECTIVES,2017,18,2,225,245,20,SSCI - IR,10.1093/isp/ekv012,0,1,0,1,1,0,0,0
"Morris, Darcy Steeg",A Modeling Approach for Administrative Record Enumeration in the Decennial Census,PUBLIC OPINION QUARTERLY,2017,81,,357,384,27,SSCI - PS,10.1093/poq/nfw059,0,1,0,1,1,0,1,0
